min_t,max_t,min_f,max_f,label,recording
437.526666667,437.986666667,1768.06,4014.97,nr_syllable_3khz,1_20230821_060000.wav
438.28,438.826666667,1910.69,3926.95,nr_syllable_3khz,1_20230821_060000.wav
439.033333333,439.553333333,1565.13,3798.53,nr_syllable_3khz,1_20230821_060000.wav
439.853333333,440.313333333,1385.49,3840.86,nr_syllable_3khz,1_20230821_060000.wav
440.646666667,441.193333333,1432.34,4014.97,nr_syllable_3khz,1_20230821_060000.wav
0.0,0.448,2492.93,3840.86,nr_syllable_3khz,1_20230827_060000.wav
0.634666667,1.232,2548.81,3715.26,nr_syllable_3khz,1_20230827_060000.wav
1.969333333,2.436,2256.27,3593.76,nr_syllable_3khz,1_20230827_060000.wav
3.248,3.798666667,2231.4,3633.81,nr_syllable_3khz,1_20230827_060000.wav
4.396,4.928,2231.4,3633.81,nr_syllable_3khz,1_20230827_060000.wav
5.161333333,5.674666667,2411.41,3715.26,nr_syllable_3khz,1_20230827_060000.wav
5.842666667,6.44,2158.43,3798.53,nr_syllable_3khz,1_20230827_060000.wav
6.626666667,7.158666667,2134.64,3756.66,nr_syllable_3khz,1_20230827_060000.wav
7.345333333,7.886666667,2182.48,3840.86,nr_syllable_3khz,1_20230827_060000.wav
8.148,8.698666667,2256.27,3756.66,nr_syllable_3khz,1_20230827_060000.wav
8.941333333,9.473333333,2358.54,3756.66,nr_syllable_3khz,1_20230827_060000.wav
10.369333333,10.845333333,2182.48,3554.15,nr_syllable_3khz,1_20230827_060000.wav
15.166666667,15.642666667,2281.41,3756.66,nr_syllable_3khz,1_20230827_060000.wav
15.950666667,16.510666667,2206.8,3674.31,nr_syllable_3khz,1_20230827_060000.wav
16.744,17.322666667,2134.64,3756.66,nr_syllable_3khz,1_20230827_060000.wav
18.358666667,18.834666667,2332.55,3756.66,nr_syllable_3khz,1_20230827_060000.wav
19.842666667,20.272,2281.41,3674.31,nr_syllable_3khz,1_20230827_060000.wav
20.533333333,21.084,2042.07,3715.26,nr_syllable_3khz,1_20230827_060000.wav
439.632,440.976,5971.63,7853.18,fast_trill_6khz,1_20230814_120000.wav
447.72,448.92,5903.86,7764.07,fast_trill_6khz,1_20230814_120000.wav
460.373333333,461.525333333,6179.62,7764.07,fast_trill_6khz,1_20230814_120000.wav
97.68,98.413333333,1425.03,3967.19,triangle_3khz,1_20230413_063000.wav
103.466666667,104.253333333,1405.96,3967.19,triangle_3khz,1_20230413_063000.wav
108.869333333,109.594666667,1296.79,4075.53,triangle_3khz,1_20230413_063000.wav
114.112,114.832,1483.81,3967.19,triangle_3khz,1_20230413_063000.wav
118.216,118.968,1368.59,4075.53,triangle_3khz,1_20230413_063000.wav
171.104,172.192,5943.0,8101.65,fast_trill_6khz,1_20230413_063000.wav
244.057333333,244.869333333,290.693,593.643,upsweep_500hz,1_20230413_063000.wav
259.050666667,260.224,6188.11,11813.9,fast_trill_6khz,1_20230413_073000.wav
265.365333333,266.112,6023.61,10896.6,fast_trill_6khz,1_20230413_073000.wav
269.930666667,270.784,6188.11,11044.4,fast_trill_6khz,1_20230413_073000.wav
283.605333333,284.138666667,290.693,593.643,upsweep_500hz,1_20230413_073000.wav
285.632,286.208,290.693,562.5,upsweep_500hz,1_20230413_073000.wav
287.68,288.192,294.636,601.695,upsweep_500hz,1_20230413_073000.wav
289.642666667,290.112,286.803,593.643,upsweep_500hz,1_20230413_073000.wav
291.712,292.138666667,254.055,577.862,upsweep_500hz,1_20230413_073000.wav
323.373333333,323.666666667,264.533,618.127,upsweep_500hz,1_20230413_073000.wav
325.24,325.626666667,275.443,609.856,upsweep_500hz,1_20230413_073000.wav
327.253333333,327.56,250.655,618.127,upsweep_500hz,1_20230413_073000.wav
329.162666667,329.493333333,257.501,609.856,upsweep_500hz,1_20230413_073000.wav
331.157333333,331.530666667,268.121,585.699,upsweep_500hz,1_20230413_073000.wav
599.656,599.984,1425.03,3914.1,nr_syllable_3khz,1_20230413_073000.wav
448.896,449.976,5785.01,14266.1,fast_trill_6khz,1_20230320_073000.wav
465.664,467.168,6105.3,12808.5,fast_trill_6khz,1_20230320_073000.wav
484.272,485.568,5943.0,10896.6,fast_trill_6khz,1_20230320_073000.wav
504.704,505.84,5943.0,10324.9,fast_trill_6khz,1_20230320_073000.wav
519.072,520.224,6357.11,12136.6,fast_trill_6khz,1_20230320_073000.wav
171.798666667,172.648,1697.79,3467.17,triangle_3khz,1_20230331_070000.wav
198.486666667,199.373333333,1608.73,3861.73,triangle_3khz,1_20230331_070000.wav
237.168,237.804,1652.66,3914.1,triangle_3khz,1_20230331_070000.wav
241.032,241.98,1608.73,4186.84,triangle_3khz,1_20230331_070000.wav
253.332,254.388,1545.0,4075.53,triangle_3khz,1_20230331_070000.wav
259.272,260.352,1587.2,3759.06,triangle_3khz,1_20230331_070000.wav
415.926,416.453333333,1524.33,3467.17,triangle_3khz,1_20230331_070000.wav
460.838,461.374666667,1314.38,3610.17,triangle_3khz,1_20230331_070000.wav
471.213333333,472.026666667,1942.64,3861.73,triangle_3khz,1_20230331_070000.wav
453.432,454.824,6194.01,8009.37,fast_trill_6khz,1_20230915_063000.wav
482.688,483.456,6194.01,7659.23,fast_trill_6khz,1_20230915_063000.wav
497.448,498.576,6057.1,10015.3,fast_trill_6khz,1_20230915_063000.wav
556.128,556.872,6263.61,8956.36,fast_trill_6khz,1_20230915_063000.wav
268.8,269.936,5836.87,8702.68,fast_trill_6khz,1_20230803_070000.wav
275.232,276.224,5836.87,7588.86,fast_trill_6khz,1_20230803_070000.wav
