,peak_time,xcorrcoef,min_t,max_t,min_f,max_f,recording,deployment,site,label,datetime,recording_length
1,215.17866666666663,0.6584088221369686,214.7153333333333,215.642,5531.0,10125.0,1_20230319_063000.wav,1,1,fast_trill_6khz,2023-03-19 06:30:00,600.0
4,449.312,0.6102688051302988,448.84866666666665,449.7753333333334,5531.0,10125.0,1_20230320_073000.wav,1,1,fast_trill_6khz,2023-03-20 07:30:00,600.0
11,235.952,0.6054904849549193,235.48866666666663,236.4153333333333,5531.0,10125.0,1_20230324_180000.wav,1,1,fast_trill_6khz,2023-03-24 18:00:00,600.0
12,241.2373333333333,0.6054573094772915,240.774,241.70066666666668,5531.0,10125.0,1_20230324_180000.wav,1,1,fast_trill_6khz,2023-03-24 18:00:00,600.0
13,283.52,0.5923041488061678,283.0566666666666,283.9833333333333,5531.0,10125.0,1_20230324_180000.wav,1,1,fast_trill_6khz,2023-03-24 18:00:00,600.0
16,387.968,0.5817900360877374,387.50466666666665,388.4313333333334,5531.0,10125.0,1_20230325_063000.wav,1,1,fast_trill_6khz,2023-03-25 06:30:00,600.0
19,333.088,0.5959625070477644,332.62466666666666,333.5513333333334,5531.0,10125.0,1_20230517_073000.wav,3,1,fast_trill_6khz,2023-05-17 07:30:00,600.0
20,373.4453333333333,0.5896376330330381,372.982,373.9086666666667,5531.0,10125.0,1_20230803_070000.wav,6,1,fast_trill_6khz,2023-08-03 07:00:00,600.0
21,434.0,0.5862559561592764,433.5366666666666,434.46333333333337,5531.0,10125.0,1_20230803_070000.wav,6,1,fast_trill_6khz,2023-08-03 07:00:00,600.0
22,97.25866666666668,0.5829881693559705,96.79533333333336,97.722,5531.0,10125.0,1_20230810_073000.wav,6,1,fast_trill_6khz,2023-08-10 07:30:00,600.0
23,596.336,0.6223716809603549,595.8726666666666,596.7993333333334,5531.0,10125.0,1_20230810_073000.wav,6,1,fast_trill_6khz,2023-08-10 07:30:00,600.0
27,239.66933333333333,0.5875842598310839,239.206,240.1326666666667,5531.0,10125.0,1_20230812_073000.wav,6,1,fast_trill_6khz,2023-08-12 07:30:00,600.0
28,11.098666666666666,0.5838437229545183,10.635333333333334,11.562,5531.0,10125.0,1_20230813_070000.wav,6,1,fast_trill_6khz,2023-08-13 07:00:00,600.0
29,121.904,0.6453226504828783,121.44066666666669,122.36733333333332,5531.0,10125.0,1_20230813_070000.wav,6,1,fast_trill_6khz,2023-08-13 07:00:00,600.0
30,138.79466666666667,0.6387815572333991,138.33133333333333,139.258,5531.0,10125.0,1_20230813_070000.wav,6,1,fast_trill_6khz,2023-08-13 07:00:00,600.0
31,147.44533333333334,0.6645213819780017,146.982,147.90866666666668,5531.0,10125.0,1_20230813_070000.wav,6,1,fast_trill_6khz,2023-08-13 07:00:00,600.0
32,165.52,0.6278108909097793,165.05666666666667,165.98333333333335,5531.0,10125.0,1_20230813_070000.wav,6,1,fast_trill_6khz,2023-08-13 07:00:00,600.0
33,43.78666666666667,0.5932617325540124,43.32333333333333,44.25000000000001,5531.0,10125.0,1_20230813_073000.wav,6,1,fast_trill_6khz,2023-08-13 07:30:00,600.0
34,537.1306666666667,0.6355313995336938,536.6673333333333,537.594,5531.0,10125.0,1_20230813_073000.wav,6,1,fast_trill_6khz,2023-08-13 07:30:00,600.0
35,545.664,0.6154926092863614,545.2006666666666,546.1273333333334,5531.0,10125.0,1_20230813_073000.wav,6,1,fast_trill_6khz,2023-08-13 07:30:00,600.0
41,440.032,0.587220786138399,439.5686666666666,440.49533333333335,5531.0,10125.0,1_20230814_120000.wav,6,1,fast_trill_6khz,2023-08-14 12:00:00,600.0
44,405.376,0.6161347125114298,404.9126666666666,405.8393333333333,5531.0,10125.0,1_20230815_070000.wav,6,1,fast_trill_6khz,2023-08-15 07:00:00,600.0
45,454.63466666666665,0.5974935154960326,454.1713333333333,455.098,5531.0,10125.0,1_20230815_070000.wav,6,1,fast_trill_6khz,2023-08-15 07:00:00,600.0
46,212.99733333333333,0.5991782636021888,212.534,213.46066666666667,5531.0,10125.0,1_20230815_163000.wav,6,1,fast_trill_6khz,2023-08-15 16:30:00,600.0
47,194.95466666666667,0.6243572344325011,194.49133333333333,195.418,5531.0,10125.0,1_20230816_120000.wav,6,1,fast_trill_6khz,2023-08-16 12:00:00,600.0
48,213.38666666666663,0.5803385879635286,212.9233333333333,213.85,5531.0,10125.0,1_20230816_120000.wav,6,1,fast_trill_6khz,2023-08-16 12:00:00,600.0
